indx;phi_xy;phi_yz;phi_xz;magn_2
200;2.765952587;-0.170248689;0.067693023;1694.087890625
201;2.761086463;-0.168295788;0.067856826;1684.810424804
202;2.773462057;-0.167895913;0.065282402;1692.205566406
203;2.773462057;-0.167497930;0.065125160;1700.147949218
204;2.785956859;-0.167497930;0.062719559;1699.638916015
205;2.776391267;-0.162797584;0.062719559;1696.988281250
206;2.774418830;-0.154996752;0.060023970;1708.609008789
207;2.766321897;-0.157715330;0.062568817;1702.375976562
208;2.750187635;-0.150300216;0.062418813;1706.640258789
209;2.777613878;-0.149945187;0.057490539;1713.679931640
210;2.772258996;-0.147949447;0.057628431;1704.479370117
211;2.746801614;-0.143242955;0.060023970;1702.606567382
212;2.795456886;-0.145252752;0.052708930;1710.414550781
213;2.764062404;-0.138530075;0.055232234;1699.418090820
214;2.764062404;-0.138202083;0.055100049;1707.418212890
215;2.721712827;-0.133493900;0.059880371;1706.150390625
216;2.782822132;-0.133178293;0.050197029;1712.402832031
217;2.745511293;-0.130518686;0.054837560;1720.220458984
218;2.725154161;-0.123473668;0.054837560;1717.137573242
219;2.741352081;-0.123473668;0.052457790;1716.705444335
220;2.736701011;-0.116141629;0.049958391;1721.440185546
221;2.736701011;-0.116141629;0.049958391;1721.440185546
222;2.729182243;-0.113792014;0.049958391;1720.508666992
223;2.764683485;-0.113792014;0.045207271;1719.740234375
224;2.746801614;-0.113792014;0.047583098;1720.114868164
225;2.729182243;-0.113792014;0.049958391;1720.508666992
226;2.714965343;-0.104381144;0.047583098;1716.580566406
227;2.780389070;-0.106484067;0.040358123;1724.446166992
228;2.742077350;-0.106484067;0.045100035;1725.137695312
229;2.765102386;-0.101545262;0.040262594;1730.851928710
230;2.727903604;-0.097081031;0.042729320;1721.478515625
231;2.727903604;-0.097081031;0.042729320;1721.478515625
232;2.727903604;-0.096852426;0.042628188;1729.574584960
233;2.739722013;-0.094504375;0.040262594;1728.460571289
234;2.743070363;-0.089805183;0.037896542;1726.645385742
235;2.720929384;-0.089594020;0.040167512;1735.077636718
236;2.723368406;-0.084901800;0.037807035;1733.339355468
237;2.712814807;-0.082554264;0.037807035;1732.657470703
238;2.729182243;-0.075506300;0.033084850;1730.150878906
239;2.750985622;-0.079829988;0.032929272;1747.706909179
240;2.717398405;-0.072812228;0.032929272;1745.834106445
241;2.714965343;-0.077491579;0.035279476;1747.341918945
242;2.704965591;-0.070471343;0.032929272;1745.248291015
243;2.691833019;-0.068289875;0.033006877;1736.527954101
244;2.749252557;-0.068129692;0.028227796;1744.182250976
245;2.706922531;-0.065633296;0.030506966;1752.047851562
246;2.677945137;-0.065633296;0.032852027;1752.307128906
247;2.647651433;-0.060814847;0.032775139;1759.462402343
248;2.645169973;-0.056147012;0.030435559;1758.242797851
249;2.694072723;-0.058481254;0.028095650;1758.473266601
250;2.711830377;-0.056016101;0.025695276;1765.993164062
251;2.714965343;-0.051476721;0.023414924;1756.696533203
252;2.736701011;-0.049026103;0.021024940;1764.312500000
253;2.659079313;-0.049026103;0.025695276;1764.696655273
254;2.677945137;-0.046586313;0.023305802;1772.331787109
255;2.634494304;-0.041836042;0.023251624;1779.851684570
256;2.634494304;-0.041836042;0.023251624;1779.851684570
257;2.701750278;-0.039422723;0.018559352;1787.438842773
258;2.651635408;-0.034788742;0.018559352;1786.824096679
259;2.677945137;-0.032471179;0.016239869;1786.401611328
260;2.553590297;-0.027835037;0.018559352;1786.046264648
261;2.570255279;-0.032471179;0.020878634;1786.708862304
262;2.553590297;-0.027770636;0.018516403;1794.334472656
263;2.530866622;-0.023144013;0.016202285;1793.767822265
264;2.356194496;-0.016202285;0.016202285;1793.277954101
265;2.677945137;-0.023144013;0.011573557;1793.537231445
266;2.422762870;-0.018473648;0.016164875;1801.729370117
267;2.432966470;-0.016164875;0.013855928;1801.460449218
268;2.356194496;-0.013824005;0.013824005;1809.662353515
269;2.356194496;-0.011520229;0.011520229;1809.451049804
270;2.111215829;-0.006912333;0.011520229;1809.297363281
271;2.111215829;-0.006912333;0.011520229;1809.297363281
272;1.951302719;-0.004597669;0.011493747;1817.595214843
273;2.214297533;-0.006896442;0.009195144;1817.556762695
274;1.815775012;-0.002298846;0.009195144;1817.479858398
275;2.034443855;-0.002298846;0.004597669;1817.364624023
276;1.249045848;0.002293574;0.006880625;1825.778076171
277;1.325817704;0.002298846;0.009195144;1817.479858398
278;0.982793807;0.004597669;0.006896442;1817.441528320
279;0.643501091;0.009174055;0.006880625;1825.922119140
280;0.321750521;0.006864881;0.002288325;1834.162353515
281;0.463647603;0.013760600;0.006880625;1826.114135742
282;0.404891777;0.016016936;0.006864881;1834.623291015
283;0.000000000;0.016016936;0.000000000;1834.536865234
284;0.124354994;0.018262809;0.002283101;1843.093994140
285;0.278299617;0.016016936;0.004576626;1834.575317382
286;0.000000000;0.022827081;0.000000000;1843.430175781
287;0.099668655;0.022827081;0.002283101;1843.439697265
288;-0.179853510;0.025051708;-0.004555777;1852.092895507
289;0.000000000;0.020545053;0.000000000;1843.247680664
290;-0.083141231;0.027390408;-0.002283101;1843.862304687
291;0.000000000;0.025051708;0.000000000;1852.054565429
292;-0.076771888;0.029536862;-0.002272723;1860.967041015
293;0.076771888;0.029536862;0.002272723;1860.967041015
294;-0.185347938;0.036430339;-0.006833606;1853.437500000
295;-0.062418813;0.036347622;-0.002272723;1861.802612304
296;-0.165148677;0.040886287;-0.006818077;1862.532470703
297;-0.052583065;0.043057274;-0.002267570;1871.272094726
298;-0.148889961;0.045320420;-0.006802617;1871.723388671
299;-0.188221511;0.047691082;-0.009090659;1863.723388671
300;-0.124354994;0.054368138;-0.006802617;1873.413696289
301;-0.165148677;0.054491453;-0.009090659;1865.019897460
302;-0.152649331;0.058755822;-0.009049528;1882.921630859
303;-0.165148677;0.054368138;-0.009070047;1873.480957031
304;-0.253674077;0.061010165;-0.015835780;1883.747558593
305;-0.218668961;0.061010165;-0.013573827;1883.622680664
306;-0.176708841;0.063263888;-0.011311736;1884.045288085
307;-0.244978666;0.063263888;-0.015835780;1884.275756835
308;-0.170735192;0.065516953;-0.011311736;1884.592651367
309;-0.197395572;0.067769360;-0.013573827;1885.265014648
310;-0.222081899;0.069863533;-0.015800041;1894.475219726
311;-0.229231953;0.067616853;-0.015800041;1893.889282226
312;-0.150371417;0.074354772;-0.011286203;1895.473999023
313;-0.252554273;0.069706702;-0.018016070;1903.138061523
314;-0.209022951;0.074187922;-0.015764460;1904.223266601
315;-0.252554273;0.069706702;-0.018016070;1903.138061523
316;-0.244978666;0.080723075;-0.020221962;1915.056884765
317;-0.244978666;0.080904102;-0.020267496;1906.518676757
318;-0.202321624;0.087417087;-0.017975591;1917.054443359
319;-0.186979284;0.082955255;-0.015729038;1915.450683593
320;-0.207496213;0.085186595;-0.017975591;1916.314941406
321;-0.257323694;0.085186595;-0.022468128;1916.660766601
322;-0.251002693;0.087222080;-0.022417767;1925.957397460
323;-0.291456794;0.089646711;-0.026959757;1918.581542968
324;-0.244978666;0.089446783;-0.022417767;1926.716064453
325;-0.239231562;0.091670598;-0.022417767;1927.494018554
326;-0.206323909;0.096115474;-0.020176634;1928.925048828
327;-0.272145891;0.096115474;-0.026899340;1929.530029296
328;-0.287281417;0.098117923;-0.029074575;1939.182006835
329;-0.244978666;0.098117923;-0.024603533;1938.720947265
330;-0.269849157;0.104760479;-0.029074575;1941.803833007
331;-0.281232166;0.100333106;-0.029074575;1940.036743164
332;-0.301619052;0.100333106;-0.031309671;1940.296020507
333;-0.264488363;0.106972646;-0.029074575;1942.716308593
334;-0.278299617;0.109183752;-0.031309671;1943.907104492
335;-0.297064189;0.108941960;-0.033469641;1952.781250000
336;-0.273008704;0.111147177;-0.031239833;1953.453491210
337;-0.280837726;0.115299248;-0.033395152;1964.306030273
338;-0.240534257;0.117756235;-0.029009714;1956.161865234
339;-0.262994742;0.115554344;-0.031239833;1955.412719726
340;-0.275805902;0.117496395;-0.033395152;1965.314453125
341;-0.253674077;0.119692373;-0.031170301;1966.063598632
342;-0.278299617;0.124080872;-0.035619673;1968.752685546
343;-0.321750545;0.119692373;-0.040067629;1967.292846679
344;-0.294730091;0.124080872;-0.037843842;1969.069580078
345;-0.269167470;0.128464567;-0.035619673;1970.942382812
346;-0.280536794;0.130654561;-0.037843842;1972.382934570
347;-0.296115131;0.130367505;-0.039978685;1981.353027343
348;-0.291456794;0.132843303;-0.040067629;1973.861938476
349;-0.286938762;0.134734284;-0.039978685;1983.657958984
350;-0.276097059;0.132551527;-0.037759823;1982.159790039
351;-0.297365169;0.136915779;-0.042197160;1985.194580078
352;-0.256516647;0.134734284;-0.035540583;1983.004882812
353;-0.280299644;0.145310020;-0.042103710;1998.765136718
354;-0.326358795;0.143138527;-0.048741850;1998.688232421
355;-0.290086936;0.147803125;-0.044415216;1991.763793945
356;-0.272463130;0.149648847;-0.042103710;2001.338989257
357;-0.266252040;0.145310020;-0.039890136;1998.409667968
358;-0.278299665;0.153981995;-0.044316859;2004.364257812
359;-0.286051416;0.149648847;-0.044316859;2001.713500976
360;-0.313276171;0.156146407;-0.050953636;2006.957275390
361;-0.282123708;0.151485385;-0.044218945;2011.701660156
362;-0.283794069;0.158309340;-0.046529588;2007.485473632
363;-0.291456747;0.153646683;-0.046426792;2013.430297851
364;-0.292713050;0.160470781;-0.048741850;2009.291015625
365;-0.267410778;0.160121798;-0.044218945;2017.156738281
366;-0.278299617;0.168734192;-0.048634185;2023.725830078
367;-0.276513934;0.162277197;-0.046426792;2018.962280273
368;-0.321750545;0.164431071;-0.055253438;2022.160400390
369;-0.302145218;0.168734192;-0.053047533;2024.609375000
370;-0.251002693;0.170513439;-0.044121460;2033.099365234
371;-0.288055438;0.176938066;-0.052930645;2039.370727539
372;-0.298498916;0.170513439;-0.052930645;2034.789672851
373;-0.291456794;0.174798130;-0.052930645;2037.824462890
374;-0.291456794;0.175176992;-0.053047533;2029.132812500
375;-0.302884864;0.174798130;-0.055131716;2038.295166015
376;-0.284730434;0.179076375;-0.052930645;2040.936279296
377;-0.303570747;0.180822486;-0.057206239;2052.192382812
378;-0.303570747;0.180822486;-0.057206239;2052.192382812
379;-0.296844673;0.185481252;-0.057332248;2046.708251953
380;-0.300920224;0.189742660;-0.059532217;2050.520996093
381;-0.275189256;0.184684391;-0.052698416;2063.188964843
382;-0.300920224;0.189334640;-0.059401397;2059.232177734
383;-0.308052802;0.191458396;-0.061595988;2061.440917968
384;-0.281232166;0.195700645;-0.057206239;2063.822753906
385;-0.308052802;0.191047773;-0.061460962;2070.170898437
386;-0.298498897;0.197395563;-0.061460962;2075.328369140
387;-0.301619052;0.195281391;-0.061460962;2073.590087890
388;-0.311717462;0.195281391;-0.063650169;2074.137451171
389;-0.302272534;0.201618480;-0.063650169;2079.409912109
390;-0.296278362;0.205395388;-0.063510961;2091.770507812
391;-0.299246311;0.203727269;-0.063650169;2081.206054687
392;-0.315421533;0.205834174;-0.068026733;2084.173583984
393;-0.305878853;0.205834174;-0.065838761;2083.587646484
394;-0.302884817;0.208384132;-0.065983362;2076.692138671
395;-0.312346434;0.207939243;-0.068026733;2086.008056640
396;-0.318654584;0.210491561;-0.070368199;2079.736572265
397;-0.294234542;0.213787531;-0.065694799;2099.789794921
398;-0.292347221;0.222621488;-0.068026733;2099.386230468
399;-0.309702920;0.216340661;-0.070214042;2094.142578125
400;-0.298498916;0.224711155;-0.070214042;2101.979492187
401;-0.301225566;0.222621488;-0.070214042;2099.991455078
402;-0.304510879;0.226798844;-0.072400693;2104.610839843
403;-0.304510879;0.226318311;-0.072242474;2113.360107421
404;-0.295819759;0.226798844;-0.070214042;2103.986572265
405;-0.293186902;0.228884506;-0.070214042;2106.013183593
406;-0.304992341;0.233049774;-0.074586658;2111.391357421
407;-0.313154792;0.226798844;-0.074586658;2105.254394531
408;-0.304992341;0.232556915;-0.074423694;2120.140625000
409;-0.308052778;0.236705827;-0.076604185;2124.990722656
410;-0.338323593;0.233049774;-0.083323116;2114.157226562
411;-0.302362418;0.234632444;-0.074423694;2122.224609375
412;-0.299776058;0.236705827;-0.074423694;2124.327880859
413;-0.308052778;0.236206960;-0.076437225;2133.759033203
414;-0.297882413;0.244978666;-0.076604185;2133.595703125
415;-0.316431474;0.242913603;-0.080962982;2132.798583984
416;-0.293037843;0.249627399;-0.076771883;2129.264404296
417;-0.303379917;0.247041559;-0.078783960;2136.477050781
418;-0.316569232;0.248579478;-0.082960138;2148.885253906
419;-0.303849649;0.252686619;-0.080786590;2152.659667968
420;-0.291456794;0.257323694;-0.078783960;2147.761718750
421;-0.303849649;0.252686619;-0.080786590;2152.659667968
422;-0.296115131;0.252686619;-0.078612275;2151.958740234
423;-0.296115131;0.253217411;-0.078783960;2143.190185546
424;-0.299084424;0.256785058;-0.080786590;2157.231201171
425;-0.311800599;0.258831024;-0.085132894;2161.005615234
426;-0.299641132;0.263466572;-0.083141241;2156.184326171
427;-0.309405517;0.261421155;-0.085318679;2154.571044921
428;-0.304720592;0.265509629;-0.085318679;2159.296142578
429;-0.326581430;0.265509629;-0.091846122;2161.629882812
430;-0.307397484;0.269589066;-0.087495336;2164.856933593
431;-0.295122480;0.267550492;-0.083141241;2160.947998046
432;-0.307397484;0.270153188;-0.087686653;2156.107666015
433;-0.309702920;0.266992521;-0.087304859;2171.214599609
434;-0.297945499;0.271625328;-0.085318679;2166.527832031
435;-0.314757680;0.275117731;-0.091646270;2182.547363281
436;-0.307732820;0.275690984;-0.089671154;2172.981933593
437;-0.319441080;0.277720260;-0.094020214;2177.082763671
438;-0.307732820;0.275690984;-0.089671154;2172.981933593
439;-0.308052778;0.281187324;-0.091646270;2190.067382812
440;-0.310515046;0.284632349;-0.093612041;2204.780517578
441;-0.310515046;0.285221958;-0.093815689;2195.992919921
442;-0.317266249;0.285221958;-0.095984230;2196.828613281
443;-0.294851255;0.287831420;-0.089671154;2188.194580078
444;-0.310515046;0.284632349;-0.093612041;2204.780517578
445;-0.315069150;0.287831420;-0.096193428;2190.643554687
446;-0.310761976;0.291255998;-0.095984230;2204.636474609
447;-0.310761976;0.291859130;-0.096193428;2195.868164062
448;-0.300014853;0.295877094;-0.094020214;2200.333984375
449;-0.319590711;0.295266675;-0.100318562;2211.666748046
450;-0.315214729;0.293869304;-0.098365716;2199.364013671
451;-0.313092732;0.295877094;-0.098365716;2202.024414062
452;-0.308930730;0.299267559;-0.098151865;2216.170898437
453;-0.319636392;0.301885604;-0.102707493;2211.887695312
454;-0.304874515;0.303883504;-0.098365716;2212.857666015
455;-0.321750545;0.299885272;-0.102707493;2209.169677734
456;-0.317548894;0.303883504;-0.102707493;2214.624755859
457;-0.300920224;0.307871723;-0.098365716;2218.389648437
458;-0.319680166;0.307871723;-0.104876947;2221.069091796
459;-0.315615677;0.311849856;-0.104876947;2226.677734375
460;-0.317718362;0.315817832;-0.107045388;2233.294921875
461;-0.309456086;0.311210751;-0.102484333;2234.533691406
462;-0.299441909;0.316466569;-0.100756549;2221.808593750
463;-0.311649894;0.315817832;-0.104876947;2232.363281250
464;-0.321750545;0.318450212;-0.109450948;2228.368164062
465;-0.319762492;0.319775557;-0.109212839;2240.008056640
466;-0.311849856;0.321093940;-0.106812942;2250.735839843
467;-0.307779407;0.319122433;-0.104649126;2246.894042968
468;-0.311849856;0.321750545;-0.107045388;2241.967285156
469;-0.307779407;0.319775557;-0.104876947;2238.125732421
470;-0.308315658;0.331586313;-0.109212839;2257.756347656
471;-0.312042140;0.326992964;-0.108975744;2260.531738281
472;-0.315970277;0.328954076;-0.111137521;2264.488769531
473;-0.314087867;0.331586313;-0.111379241;2258.726318359
474;-0.312227034;0.333545541;-0.111379241;2261.751464843
475;-0.312227034;0.333545541;-0.111379241;2261.751464843
476;-0.308568620;0.336772251;-0.111137521;2276.628173828
477;-0.308568620;0.336772251;-0.111137521;2276.628173828
478;-0.321750521;0.335502147;-0.115708899;2266.793701171
479;-0.314231896;0.336772251;-0.113298273;2277.617431640
480;-0.319908905;0.342607998;-0.117616546;2288.959716796
481;-0.304992341;0.341355848;-0.111379241;2274.044677734
482;-0.292019557;0.343301749;-0.107045388;2275.245117187
483;-0.314370608;0.343301749;-0.115708899;2279.163574218
484;-0.314370608;0.343301749;-0.115708899;2279.163574218
485;-0.316286110;0.346485090;-0.117616546;2295.260009765
486;-0.318153429;0.351058101;-0.120034193;2293.915283203
487;-0.307311105;0.350351309;-0.115457952;2300.609375000
488;-0.314504289;0.349123096;-0.117872095;2289.670410156
489;-0.314633226;0.354919910;-0.120034193;2300.369384765
490;-0.307567095;0.357565855;-0.118128752;2293.828857421
